"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"CommLandings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TotCatch","3.68","3.2599999","2.9599999","3.3999999","3.02","1.969998","2.029998","2.677999","2.871999","2.871999","2.871999"
"OFL",NA,NA,NA,NA,NA,"10.3057","10.3732","10.4352","10.4555","10.4618","10.4664"
"ACL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-SPR","0.440584","0.487467","0.522708","0.471063","0.515199","0.654569","0.647897","0.550674","0.526189","0.526417","0.526582"
"ExploitationRate","0.437591","0.388894","0.353453","0.405772","0.361013","0.235418","0.241258","0.316702","0.339209","0.339147","0.339112"
"A10+Biomass","183.487","182.9","182.72","182.82","182.52","182.58","183.586","184.496","184.733","184.766","184.785"
"SpawnBiomass","18.0623","17.9933","17.9708","17.9812","17.9443","17.9497","18.0682","18.1771","18.2128","18.2238","18.2316"
"Spawnbio95CI","9--27","9--27","9--27","9--27","9--27","9--27","9--27","9--27","9--27","9--27","9--27"
"Rec","33.31","33.3","33.29","33.29","33.29","33.29","33.31","33.33","33.33","33.34","33.34"
"Rec95CI","21.36--45.26","21.34--45.26","21.33--45.25","21.33--45.25","21.33--45.25","21.33--45.25","21.35--45.27","21.38--45.28","21.38--45.28","21.39--45.29","21.39--45.29"
"Depletion","73.9%","73.6%","73.5%","73.6%","73.4%","73.4%","73.9%","74.4%","74.5%","74.6%","74.6%"
"Depl95CI","33.21--33.41","33.2--33.4","33.19--33.39","33.19--33.39","33.19--33.39","33.19--33.39","33.21--33.41","33.24--33.42","33.24--33.42","33.25--33.43","33.25--33.43"
