"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,40.03,"61.5%","Central","base","constant"
2016,NA,NA,40.75,"62.6%","Central","base","constant"
2017,NA,NA,41.44,"63.7%","Central","base","constant"
2018,NA,NA,41.78,"64.2%","Central","base","constant"
2019,NA,NA,41.91,"64.4%","Central","base","constant"
2020,NA,NA,42.22,"64.9%","Central","base","constant"
2021,21.56,7.59,42.52,"65.3%","Central","base","constant"
2022,21.71,7.59,42.79,"65.7%","Central","base","constant"
2023,21.85,7.6,43.05,"66.1%","Central","base","constant"
2024,21.98,7.59,43.3,"66.5%","Central","base","constant"
2025,22.11,7.59,43.53,"66.9%","Central","base","constant"
2026,22.22,7.59,43.76,"67.2%","Central","base","constant"
2027,22.34,7.6,43.97,"67.5%","Central","base","constant"
2028,22.44,7.6,44.17,"67.8%","Central","base","constant"
2029,22.54,7.6,44.36,"68.1%","Central","base","constant"
2030,22.64,7.6,44.54,"68.4%","Central","base","constant"
