"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.84,"#sum_for_2021: 18.79"
2021,1,2,0.58,""
2021,1,3,9.77,""
2021,1,4,7.38,""
2021,1,5,0.22,""
2022,1,1,0.84,"#sum_for_2022: 18.8"
2022,1,2,0.59,""
2022,1,3,9.76,""
2022,1,4,7.39,""
2022,1,5,0.22,""
2023,1,1,0.84,"#sum_for_2023: 18.8"
2023,1,2,0.59,""
2023,1,3,9.76,""
2023,1,4,7.39,""
2023,1,5,0.22,""
2024,1,1,0.84,"#sum_for_2024: 18.79"
2024,1,2,0.59,""
2024,1,3,9.75,""
2024,1,4,7.4,""
2024,1,5,0.21,""
2025,1,1,0.84,"#sum_for_2025: 18.8"
2025,1,2,0.6,""
2025,1,3,9.75,""
2025,1,4,7.4,""
2025,1,5,0.21,""
2026,1,1,0.84,"#sum_for_2026: 18.8"
2026,1,2,0.6,""
2026,1,3,9.74,""
2026,1,4,7.41,""
2026,1,5,0.21,""
2027,1,1,0.84,"#sum_for_2027: 18.8"
2027,1,2,0.6,""
2027,1,3,9.74,""
2027,1,4,7.41,""
2027,1,5,0.21,""
2028,1,1,0.84,"#sum_for_2028: 18.79"
2028,1,2,0.6,""
2028,1,3,9.73,""
2028,1,4,7.41,""
2028,1,5,0.21,""
2029,1,1,0.84,"#sum_for_2029: 18.81"
2029,1,2,0.61,""
2029,1,3,9.73,""
2029,1,4,7.42,""
2029,1,5,0.21,""
2030,1,1,0.84,"#sum_for_2030: 18.8"
2030,1,2,0.61,""
2030,1,3,9.72,""
2030,1,4,7.42,""
2030,1,5,0.21,""
