"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,19.27,"39%","Central","low","upper"
2016,NA,NA,19.76,"40%","Central","low","upper"
2017,NA,NA,20.25,"41%","Central","low","upper"
2018,NA,NA,20.4,"41.3%","Central","low","upper"
2019,NA,NA,20.37,"41.2%","Central","low","upper"
2020,NA,NA,20.52,"41.5%","Central","low","upper"
2021,7.69,27.83,20.66,"41.8%","Central","low","upper"
2022,6.88,27.83,18.55,"37.5%","Central","low","upper"
2023,6.07,27.84,16.46,"33.3%","Central","low","upper"
2024,5.28,27.84,14.42,"29.2%","Central","low","upper"
2025,4.51,27.83,12.43,"25.1%","Central","low","upper"
2026,3.76,27.84,10.51,"21.3%","Central","low","upper"
2027,3.05,27.85,8.67,"17.5%","Central","low","upper"
2028,2.38,27.85,6.92,"14%","Central","low","upper"
2029,1.76,27.57,5.27,"10.7%","Central","low","upper"
2030,1.2,15.9,3.77,"7.6%","Central","low","upper"
