"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.1,"#sum_for_2021: 27.83"
2021,1,2,0.61,""
2021,1,3,0.33,""
2021,1,4,2.51,""
2021,1,5,2.66,""
2021,1,6,16.75,""
2021,1,7,0.65,""
2021,1,8,1.27,""
2021,1,9,0.56,""
2021,1,10,1.58,""
2021,1,11,0.81,""
2022,1,1,0.1,"#sum_for_2022: 27.83"
2022,1,2,0.61,""
2022,1,3,0.33,""
2022,1,4,2.51,""
2022,1,5,2.66,""
2022,1,6,16.75,""
2022,1,7,0.65,""
2022,1,8,1.27,""
2022,1,9,0.56,""
2022,1,10,1.58,""
2022,1,11,0.81,""
2023,1,1,0.1,"#sum_for_2023: 27.84"
2023,1,2,0.62,""
2023,1,3,0.33,""
2023,1,4,2.51,""
2023,1,5,2.66,""
2023,1,6,16.75,""
2023,1,7,0.65,""
2023,1,8,1.27,""
2023,1,9,0.56,""
2023,1,10,1.58,""
2023,1,11,0.81,""
2024,1,1,0.1,"#sum_for_2024: 27.84"
2024,1,2,0.62,""
2024,1,3,0.33,""
2024,1,4,2.51,""
2024,1,5,2.66,""
2024,1,6,16.76,""
2024,1,7,0.65,""
2024,1,8,1.26,""
2024,1,9,0.56,""
2024,1,10,1.58,""
2024,1,11,0.81,""
2025,1,1,0.1,"#sum_for_2025: 27.83"
2025,1,2,0.62,""
2025,1,3,0.33,""
2025,1,4,2.5,""
2025,1,5,2.66,""
2025,1,6,16.76,""
2025,1,7,0.65,""
2025,1,8,1.26,""
2025,1,9,0.56,""
2025,1,10,1.58,""
2025,1,11,0.81,""
2026,1,1,0.1,"#sum_for_2026: 27.84"
2026,1,2,0.62,""
2026,1,3,0.33,""
2026,1,4,2.5,""
2026,1,5,2.66,""
2026,1,6,16.77,""
2026,1,7,0.65,""
2026,1,8,1.26,""
2026,1,9,0.56,""
2026,1,10,1.58,""
2026,1,11,0.81,""
2027,1,1,0.11,"#sum_for_2027: 27.86"
2027,1,2,0.62,""
2027,1,3,0.33,""
2027,1,4,2.5,""
2027,1,5,2.66,""
2027,1,6,16.78,""
2027,1,7,0.65,""
2027,1,8,1.26,""
2027,1,9,0.56,""
2027,1,10,1.58,""
2027,1,11,0.81,""
2028,1,1,0.11,"#sum_for_2028: 27.85"
2028,1,2,0.62,""
2028,1,3,0.33,""
2028,1,4,2.49,""
2028,1,5,2.66,""
2028,1,6,16.79,""
2028,1,7,0.65,""
2028,1,8,1.25,""
2028,1,9,0.56,""
2028,1,10,1.58,""
2028,1,11,0.81,""
2029,1,1,0.11,"#sum_for_2029: 27.83"
2029,1,2,0.62,""
2029,1,3,0.32,""
2029,1,4,2.49,""
2029,1,5,2.66,""
2029,1,6,16.79,""
2029,1,7,0.64,""
2029,1,8,1.25,""
2029,1,9,0.56,""
2029,1,10,1.58,""
2029,1,11,0.81,""
2030,1,1,0.11,"#sum_for_2030: 27.83"
2030,1,2,0.62,""
2030,1,3,0.32,""
2030,1,4,2.48,""
2030,1,5,2.66,""
2030,1,6,16.8,""
2030,1,7,0.64,""
2030,1,8,1.25,""
2030,1,9,0.56,""
2030,1,10,1.58,""
2030,1,11,0.81,""
