"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,9.95,"53.3%","North","low","ABC"
2016,NA,NA,10.04,"53.8%","North","low","ABC"
2017,NA,NA,10.13,"54.2%","North","low","ABC"
2018,NA,NA,10.14,"54.3%","North","low","ABC"
2019,NA,NA,10.12,"54.2%","North","low","ABC"
2020,NA,NA,10.11,"54.1%","North","low","ABC"
2021,3.97,6.95,10.09,"54%","North","low","ABC"
2022,3.78,6.96,9.62,"51.5%","North","low","ABC"
2023,3.6,6.96,9.15,"49%","North","low","ABC"
2024,3.42,6.95,8.69,"46.5%","North","low","ABC"
2025,3.25,6.95,8.24,"44.1%","North","low","ABC"
2026,3.08,6.95,7.8,"41.8%","North","low","ABC"
2027,2.91,6.95,7.37,"39.5%","North","low","ABC"
2028,2.75,6.95,6.96,"37.2%","North","low","ABC"
2029,2.59,6.95,6.55,"35.1%","North","low","ABC"
2030,2.44,6.96,6.16,"33%","North","low","ABC"
