"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,27.52,"82.9%","North","high","upper"
2016,NA,NA,27.65,"83.3%","North","high","upper"
2017,NA,NA,27.76,"83.6%","North","high","upper"
2018,NA,NA,27.8,"83.8%","North","high","upper"
2019,NA,NA,27.81,"83.8%","North","high","upper"
2020,NA,NA,27.82,"83.8%","North","high","upper"
2021,18.77,13.53,27.83,"83.9%","North","high","upper"
2022,18.01,13.51,26.71,"80.5%","North","high","upper"
2023,17.29,13.51,25.63,"77.2%","North","high","upper"
2024,16.59,13.52,24.58,"74.1%","North","high","upper"
2025,15.92,13.52,23.59,"71.1%","North","high","upper"
2026,15.29,13.52,22.65,"68.2%","North","high","upper"
2027,14.69,13.52,21.75,"65.5%","North","high","upper"
2028,14.12,13.51,20.91,"63%","North","high","upper"
2029,13.59,13.51,20.12,"60.6%","North","high","upper"
2030,13.09,13.52,19.38,"58.4%","North","high","upper"
