"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,18.57,"27.9%","South","base","upper"
2016,NA,NA,19.19,"28.9%","South","base","upper"
2017,NA,NA,19.82,"29.8%","South","base","upper"
2018,NA,NA,20.47,"30.8%","South","base","upper"
2019,NA,NA,21.07,"31.7%","South","base","upper"
2020,NA,NA,21.7,"32.6%","South","base","upper"
2021,15.54,18.79,22.32,"33.6%","South","base","upper"
2022,15.68,18.8,22.52,"33.9%","South","base","upper"
2023,15.82,18.8,22.71,"34.1%","South","base","upper"
2024,15.95,18.79,22.9,"34.4%","South","base","upper"
2025,16.08,18.8,23.08,"34.7%","South","base","upper"
2026,16.21,18.8,23.27,"35%","South","base","upper"
2027,16.34,18.8,23.46,"35.3%","South","base","upper"
2028,16.48,18.79,23.65,"35.6%","South","base","upper"
2029,16.62,18.81,23.85,"35.9%","South","base","upper"
2030,16.76,18.8,24.06,"36.2%","South","base","upper"
