"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.85,"#sum_for_2021: 19.04"
2021,1,2,0.58,""
2021,1,3,9.9,""
2021,1,4,7.49,""
2021,1,5,0.22,""
2022,1,1,0.85,"#sum_for_2022: 19.05"
2022,1,2,0.59,""
2022,1,3,9.9,""
2022,1,4,7.49,""
2022,1,5,0.22,""
2023,1,1,0.85,"#sum_for_2023: 19.05"
2023,1,2,0.59,""
2023,1,3,9.9,""
2023,1,4,7.49,""
2023,1,5,0.22,""
2024,1,1,0.85,"#sum_for_2024: 19.05"
2024,1,2,0.6,""
2024,1,3,9.89,""
2024,1,4,7.5,""
2024,1,5,0.21,""
2025,1,1,0.86,"#sum_for_2025: 19.05"
2025,1,2,0.6,""
2025,1,3,9.88,""
2025,1,4,7.5,""
2025,1,5,0.21,""
2026,1,1,0.86,"#sum_for_2026: 19.06"
2026,1,2,0.61,""
2026,1,3,9.87,""
2026,1,4,7.51,""
2026,1,5,0.21,""
2027,1,1,0.85,"#sum_for_2027: 19.06"
2027,1,2,0.61,""
2027,1,3,9.87,""
2027,1,4,7.51,""
2027,1,5,0.22,""
2028,1,1,0.85,"#sum_for_2028: 19.05"
2028,1,2,0.61,""
2028,1,3,9.86,""
2028,1,4,7.51,""
2028,1,5,0.22,""
2029,1,1,0.84,"#sum_for_2029: 19.05"
2029,1,2,0.62,""
2029,1,3,9.87,""
2029,1,4,7.51,""
2029,1,5,0.21,""
