"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,13.49,"19.4%","South","low","constant"
2016,NA,NA,13.89,"20%","South","low","constant"
2017,NA,NA,14.3,"20.6%","South","low","constant"
2018,NA,NA,14.74,"21.2%","South","low","constant"
2019,NA,NA,15.14,"21.8%","South","low","constant"
2020,NA,NA,15.56,"22.4%","South","low","constant"
2021,9.34,13.33,15.99,"23%","South","low","constant"
2022,9.59,13.33,16.41,"23.6%","South","low","constant"
2023,9.83,13.33,16.83,"24.2%","South","low","constant"
2024,10.08,13.32,17.25,"24.8%","South","low","constant"
2025,10.33,13.33,17.68,"25.5%","South","low","constant"
2026,10.58,13.32,18.1,"26.1%","South","low","constant"
2027,10.83,13.32,18.52,"26.7%","South","low","constant"
2028,11.08,13.33,18.95,"27.3%","South","low","constant"
2029,11.33,13.33,19.37,"27.9%","South","low","constant"
2030,11.58,13.32,19.8,"28.5%","South","low","constant"
