"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,17.95,"73.4%","North","base","constant"
2016,NA,NA,18.07,"73.9%","North","base","constant"
2017,NA,NA,18.18,"74.4%","North","base","constant"
2018,NA,NA,18.21,"74.5%","North","base","constant"
2019,NA,NA,18.22,"74.6%","North","base","constant"
2020,NA,NA,18.23,"74.6%","North","base","constant"
2021,10.47,2.87,18.24,"74.6%","North","base","constant"
2022,10.47,2.87,18.24,"74.6%","North","base","constant"
2023,10.47,2.87,18.24,"74.6%","North","base","constant"
2024,10.47,2.87,18.24,"74.6%","North","base","constant"
2025,10.47,2.87,18.24,"74.6%","North","base","constant"
2026,10.47,2.87,18.24,"74.6%","North","base","constant"
2027,10.47,2.88,18.24,"74.6%","North","base","constant"
2028,10.47,2.87,18.23,"74.6%","North","base","constant"
2029,10.47,2.87,18.23,"74.6%","North","base","constant"
2030,10.47,2.87,18.23,"74.6%","North","base","constant"
