"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"CommLandings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TotCatch","8.76","13.299999","14.55","12.249999","7.0399999","4.63999","4.77999","7.668591","9.3278667","7.60227","7.58227"
"OFL",NA,NA,NA,NA,NA,"20.2481","20.626","20.9869","21.1669","21.2394","21.4058"
"ACL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-SPR","0.386281","0.197007","0.149764","0.229674","0.46963","0.619563","0.616091","0.456672","0.379393","0.463578","0.467673"
"ExploitationRate","0.474023","0.715904","0.787748","0.668997","0.385534","0.251603","0.255304","0.403909","0.488091","0.396874","0.393445"
"A10+Biomass","382.082","384.104","381.881","378.585","377.539","381.288","387.098","392.541","395.124","396.044","398.444"
"SpawnBiomass","40.1246","40.3799","40.1119","39.7064","39.5734","40.0329","40.754","41.4388","41.7758","41.9073","42.2189"
"Spawnbio95CI","27--53","27--53","27--53","27--53","26--53","27--53","28--54","28--55","29--55","29--55","29--55"
"Rec","68.17","68.22","68.17","68.09","68.06","68.15","68.29","68.41","68.47","68.5","68.55"
"Rec95CI","54.47--81.87","54.53--81.91","54.46--81.88","54.36--81.82","54.32--81.8","54.43--81.87","54.59--81.99","54.74--82.08","54.81--82.13","54.84--82.16","54.9--82.2"
"Depletion","61.6%","62%","61.6%","61%","60.8%","61.5%","62.6%","63.7%","64.2%","64.4%","64.9%"
"Depl95CI","68.09--68.25","68.15--68.29","68.09--68.25","68.01--68.17","67.98--68.14","68.07--68.23","68.21--68.37","68.34--68.48","68.4--68.54","68.43--68.57","68.48--68.62"
