"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,13.49,"19.4%","South","low","upper"
2016,NA,NA,13.89,"20%","South","low","upper"
2017,NA,NA,14.3,"20.6%","South","low","upper"
2018,NA,NA,14.74,"21.2%","South","low","upper"
2019,NA,NA,15.14,"21.8%","South","low","upper"
2020,NA,NA,15.56,"22.4%","South","low","upper"
2021,9.34,18.79,15.99,"23%","South","low","upper"
2022,9.38,18.8,16.05,"23.1%","South","low","upper"
2023,9.41,18.8,16.1,"23.2%","South","low","upper"
2024,9.44,18.79,16.15,"23.3%","South","low","upper"
2025,9.47,18.8,16.2,"23.3%","South","low","upper"
2026,9.51,18.8,16.26,"23.4%","South","low","upper"
2027,9.55,18.8,16.33,"23.5%","South","low","upper"
2028,9.59,18.79,16.4,"23.6%","South","low","upper"
2029,9.64,18.81,16.49,"23.7%","South","low","upper"
2030,9.69,18.8,16.58,"23.9%","South","low","upper"
