"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,13.49,"19.4%","South","low","ABC"
2016,NA,NA,13.89,"20%","South","low","ABC"
2017,NA,NA,14.3,"20.6%","South","low","ABC"
2018,NA,NA,14.74,"21.2%","South","low","ABC"
2019,NA,NA,15.14,"21.8%","South","low","ABC"
2020,NA,NA,15.56,"22.4%","South","low","ABC"
2021,9.34,16.07,15.99,"23%","South","low","ABC"
2022,9.48,16.08,16.23,"23.4%","South","low","ABC"
2023,9.62,16.06,16.46,"23.7%","South","low","ABC"
2024,9.76,16.08,16.7,"24.1%","South","low","ABC"
2025,9.9,16.07,16.94,"24.4%","South","low","ABC"
2026,10.04,16.07,17.17,"24.7%","South","low","ABC"
2027,10.18,16.07,17.42,"25.1%","South","low","ABC"
2028,10.33,16.08,17.67,"25.4%","South","low","ABC"
2029,10.48,16.08,17.92,"25.8%","South","low","ABC"
2030,10.63,16.08,18.18,"26.2%","South","low","ABC"
