"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,9.95,"53.3%","North","low","constant"
2016,NA,NA,10.04,"53.8%","North","low","constant"
2017,NA,NA,10.13,"54.2%","North","low","constant"
2018,NA,NA,10.14,"54.3%","North","low","constant"
2019,NA,NA,10.12,"54.2%","North","low","constant"
2020,NA,NA,10.11,"54.1%","North","low","constant"
2021,3.97,2.87,10.09,"54%","North","low","constant"
2022,3.96,2.87,10.07,"53.9%","North","low","constant"
2023,3.95,2.87,10.05,"53.8%","North","low","constant"
2024,3.94,2.87,10.03,"53.7%","North","low","constant"
2025,3.93,2.87,10.01,"53.6%","North","low","constant"
2026,3.93,2.87,9.98,"53.4%","North","low","constant"
2027,3.92,2.88,9.96,"53.3%","North","low","constant"
2028,3.91,2.87,9.94,"53.2%","North","low","constant"
2029,3.9,2.87,9.92,"53.1%","North","low","constant"
2030,3.89,2.87,9.9,"53%","North","low","constant"
