"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,3.76,"#sum_for_2021: 6.95"
2021,1,2,0.54,""
2021,1,3,2.65,""
2022,1,1,3.77,"#sum_for_2022: 6.96"
2022,1,2,0.54,""
2022,1,3,2.65,""
2023,1,1,3.77,"#sum_for_2023: 6.96"
2023,1,2,0.54,""
2023,1,3,2.65,""
2024,1,1,3.77,"#sum_for_2024: 6.95"
2024,1,2,0.54,""
2024,1,3,2.64,""
2025,1,1,3.78,"#sum_for_2025: 6.95"
2025,1,2,0.53,""
2025,1,3,2.64,""
2026,1,1,3.79,"#sum_for_2026: 6.95"
2026,1,2,0.53,""
2026,1,3,2.63,""
2027,1,1,3.79,"#sum_for_2027: 6.95"
2027,1,2,0.53,""
2027,1,3,2.63,""
2028,1,1,3.8,"#sum_for_2028: 6.95"
2028,1,2,0.53,""
2028,1,3,2.62,""
2029,1,1,3.8,"#sum_for_2029: 6.95"
2029,1,2,0.53,""
2029,1,3,2.62,""
2030,1,1,3.81,"#sum_for_2030: 6.96"
2030,1,2,0.53,""
2030,1,3,2.62,""
