"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,27.52,"82.9%","North","high","ABC"
2016,NA,NA,27.65,"83.3%","North","high","ABC"
2017,NA,NA,27.76,"83.6%","North","high","ABC"
2018,NA,NA,27.8,"83.8%","North","high","ABC"
2019,NA,NA,27.81,"83.8%","North","high","ABC"
2020,NA,NA,27.82,"83.8%","North","high","ABC"
2021,18.77,6.95,27.83,"83.9%","North","high","ABC"
2022,18.48,6.96,27.41,"82.6%","North","high","ABC"
2023,18.2,6.96,26.99,"81.3%","North","high","ABC"
2024,17.94,6.95,26.59,"80.1%","North","high","ABC"
2025,17.68,6.95,26.21,"79%","North","high","ABC"
2026,17.43,6.95,25.85,"77.9%","North","high","ABC"
2027,17.2,6.95,25.5,"76.8%","North","high","ABC"
2028,16.98,6.95,25.18,"75.9%","North","high","ABC"
2029,16.78,6.95,24.87,"74.9%","North","high","ABC"
2030,16.58,6.96,24.59,"74.1%","North","high","ABC"
