"Years","OFL","ABC","ACL","Landings","Total Dead"
2003,"fill_in","fill_in","fill_in","18.75","18.75"
2004,"fill_in","fill_in","fill_in","10.13","10.13"
2005,"fill_in","fill_in","fill_in","16.37","16.37"
2006,"fill_in","fill_in","fill_in","13.22","13.22"
2007,"fill_in","fill_in","fill_in","14.00","14.00"
2008,"fill_in","fill_in","fill_in","15.97","15.97"
2009,"fill_in","fill_in","fill_in","21.10","21.10"
2010,"fill_in","fill_in","fill_in","20.44","20.44"
2011,"fill_in","fill_in","fill_in","17.01","17.01"
2012,"fill_in","fill_in","fill_in","15.60","15.60"
2013,"fill_in","fill_in","fill_in","11.29","11.29"
2014,"fill_in","fill_in","fill_in","12.44","12.44"
2015,"fill_in","fill_in","fill_in","NA","NA"
