"Years","Recruitment","95% Asymptotic Interval"
2003,"117","101–135"
2004,"118","103–136"
2005,"121","106–139"
2006,"122","107–140"
2007,"124","109–141"
2008,"125","110–142"
2009,"126","111–143"
2010,"126","111–144"
2011,"126","111–144"
2012,"127","112–145"
2013,"128","112–145"
2014,"129","114–146"
2015,"130","115–147"
2016,"131","116–148"
2017,"132","117–148"
2018,"133","118–149"
2019,"133","119–150"
