"Year","PredOFL","ForeCatch_ABC","ForecastC.dead","Age10+Biomass","SpawnBio","Depletion","FiveYrAvgCatch"
2015,NA,NA,13.11,280.176,18.5653,"27.9%",3.45739615384615
2016,NA,NA,13.11,287.258,19.1898,"28.9%",3.75261818181818
2017,NA,NA,12.94,294.238,19.8207,"29.8%",4.36085555555556
2018,NA,NA,13.71,301.518,20.4741,"30.8%",5.4715
2019,NA,NA,13.32,308.081,21.0727,"31.7%",7.86397
2020,NA,NA,13.32,314.906,21.6993,"32.6%",13.2532333333333
2021,15.54,15.83,15.83,321.65,22.3216,"33.6%",13.7065166666667
2022,15.84,15.82,15.82,326.211,22.7444,"34.2%",14.1581333333333
2023,16.12,15.84,15.84,330.74,23.1587,"34.8%",14.6408333333333
2024,16.41,15.83,15.83,335.216,23.5642,"35.4%",14.9949
2025,16.69,15.83,15.83,339.667,23.9647,"36%",15.41245
2026,16.97,15.83,15.83,344.085,24.3611,"36.6%",15.83
2027,17.24,15.84,15.84,348.452,24.7543,"37.2%",15.8316666666667
2028,17.51,15.84,15.84,352.757,25.1444,"37.8%",15.835
2029,17.78,15.83,15.83,356.998,25.5321,"38.4%",15.8333333333333
2030,18.05,14.18,14.18,361.181,25.918,"39%",15.5586333333333
2031,18.41,14.56,14.56,366.608,26.4268,"39.7%",15.3467166666667
