"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.03,"#sum_for_2021: 7.59"
2021,1,2,0.17,""
2021,1,3,0.09,""
2021,1,4,0.69,""
2021,1,5,0.72,""
2021,1,6,4.56,""
2021,1,7,0.18,""
2021,1,8,0.35,""
2021,1,9,0.15,""
2021,1,10,0.43,""
2021,1,11,0.22,""
2022,1,1,0.03,"#sum_for_2022: 7.6"
2022,1,2,0.17,""
2022,1,3,0.09,""
2022,1,4,0.68,""
2022,1,5,0.73,""
2022,1,6,4.57,""
2022,1,7,0.18,""
2022,1,8,0.35,""
2022,1,9,0.15,""
2022,1,10,0.43,""
2022,1,11,0.22,""
2023,1,1,0.03,"#sum_for_2023: 7.6"
2023,1,2,0.17,""
2023,1,3,0.09,""
2023,1,4,0.68,""
2023,1,5,0.72,""
2023,1,6,4.57,""
2023,1,7,0.18,""
2023,1,8,0.35,""
2023,1,9,0.16,""
2023,1,10,0.43,""
2023,1,11,0.22,""
2024,1,1,0.03,"#sum_for_2024: 7.61"
2024,1,2,0.17,""
2024,1,3,0.09,""
2024,1,4,0.69,""
2024,1,5,0.73,""
2024,1,6,4.56,""
2024,1,7,0.18,""
2024,1,8,0.35,""
2024,1,9,0.16,""
2024,1,10,0.43,""
2024,1,11,0.22,""
2025,1,1,0.03,"#sum_for_2025: 7.59"
2025,1,2,0.17,""
2025,1,3,0.09,""
2025,1,4,0.69,""
2025,1,5,0.72,""
2025,1,6,4.57,""
2025,1,7,0.18,""
2025,1,8,0.34,""
2025,1,9,0.15,""
2025,1,10,0.43,""
2025,1,11,0.22,""
2026,1,1,0.03,"#sum_for_2026: 7.58"
2026,1,2,0.17,""
2026,1,3,0.09,""
2026,1,4,0.68,""
2026,1,5,0.72,""
2026,1,6,4.57,""
2026,1,7,0.18,""
2026,1,8,0.34,""
2026,1,9,0.15,""
2026,1,10,0.43,""
2026,1,11,0.22,""
2027,1,1,0.03,"#sum_for_2027: 7.6"
2027,1,2,0.17,""
2027,1,3,0.09,""
2027,1,4,0.68,""
2027,1,5,0.73,""
2027,1,6,4.57,""
2027,1,7,0.18,""
2027,1,8,0.35,""
2027,1,9,0.15,""
2027,1,10,0.43,""
2027,1,11,0.22,""
2028,1,1,0.03,"#sum_for_2028: 7.59"
2028,1,2,0.17,""
2028,1,3,0.09,""
2028,1,4,0.68,""
2028,1,5,0.73,""
2028,1,6,4.57,""
2028,1,7,0.18,""
2028,1,8,0.34,""
2028,1,9,0.15,""
2028,1,10,0.43,""
2028,1,11,0.22,""
2029,1,1,0.03,"#sum_for_2029: 7.59"
2029,1,2,0.17,""
2029,1,3,0.09,""
2029,1,4,0.68,""
2029,1,5,0.73,""
2029,1,6,4.57,""
2029,1,7,0.18,""
2029,1,8,0.34,""
2029,1,9,0.15,""
2029,1,10,0.43,""
2029,1,11,0.22,""
