"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,19.27,"39%","Central","low","constant"
2016,NA,NA,19.76,"40%","Central","low","constant"
2017,NA,NA,20.25,"41%","Central","low","constant"
2018,NA,NA,20.4,"41.3%","Central","low","constant"
2019,NA,NA,20.37,"41.2%","Central","low","constant"
2020,NA,NA,20.52,"41.5%","Central","low","constant"
2021,7.69,7.59,20.66,"41.8%","Central","low","constant"
2022,7.74,7.59,20.79,"42.1%","Central","low","constant"
2023,7.79,7.6,20.92,"42.3%","Central","low","constant"
2024,7.84,7.59,21.03,"42.5%","Central","low","constant"
2025,7.88,7.59,21.14,"42.8%","Central","low","constant"
2026,7.93,7.59,21.25,"43%","Central","low","constant"
2027,7.97,7.6,21.36,"43.2%","Central","low","constant"
2028,8.01,7.6,21.46,"43.4%","Central","low","constant"
2029,8.04,7.6,21.56,"43.6%","Central","low","constant"
2030,8.08,7.6,21.65,"43.8%","Central","low","constant"
