"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,17.95,"73.4%","North","base","upper"
2016,NA,NA,18.07,"73.9%","North","base","upper"
2017,NA,NA,18.18,"74.4%","North","base","upper"
2018,NA,NA,18.21,"74.5%","North","base","upper"
2019,NA,NA,18.22,"74.6%","North","base","upper"
2020,NA,NA,18.23,"74.6%","North","base","upper"
2021,10.47,13.53,18.24,"74.6%","North","base","upper"
2022,9.82,13.51,17.1,"69.9%","North","base","upper"
2023,9.19,13.51,15.99,"65.4%","North","base","upper"
2024,8.58,13.52,14.92,"61%","North","base","upper"
2025,7.99,13.52,13.88,"56.8%","North","base","upper"
2026,7.42,13.52,12.89,"52.8%","North","base","upper"
2027,6.89,13.52,11.95,"48.9%","North","base","upper"
2028,6.38,13.51,11.06,"45.2%","North","base","upper"
2029,5.89,13.51,10.21,"41.8%","North","base","upper"
2030,5.43,13.52,9.41,"38.5%","North","base","upper"
