"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","66.5","66.5–66.5"
"Unfished Age 5+ Biomass (mt)","750.0","750.0–750.0"
"Spawning Biomass (2015)","18.6","18.6–18.6"
"Unfished Recruitment (R0)","154.5","154.5–154.5"
"Depletion (2015)","27.91","27.91–27.91"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (SB40%)","26.6","26.6–26.6"
"SPR resulting in SB40%","0.444","0.444–0.444"
"Exploitation Rate Resulting in SB40%","0.057","0.057–0.057"
"Yield with SPR Based On SB40% (mt)","21.1","21.1–21.1"
"Reference Points based on SPR proxy for MSY","",""
"Proxy spawning biomass (SPR50)","30.6","30.6–30.6"
"SPR50","0.500"," NA "
"Exploitation rate corresponding to SPR50","0.048","0.048–0.048"
"Yield with SPR50 at SBSPR (mt)","19.5","19.5–19.5"
"Reference points based on estimated MSY values","",""
"Spawning biomass at MSY (SBMSY)","15.5","15.5–15.5"
"SPRMSY","0.290","0.290–0.290"
"Exploitation rate corresponding to SPRMSY","0.094","0.094–0.094"
"MSY (mt)","23.4","23.4–23.4"
