"Years","Spawning Output","95% Asymptotic Interval","Estimated Depletion (%)","95% Asymptotic Interval"
2003,"12.3","12.3–12.3","18.5","18.5–18.5"
2004,"12.8","12.8–12.8","19.3","19.3–19.3"
2005,"13.8","13.8–13.8","20.8","20.8–20.8"
2006,"14.4","14.4–14.4","21.7","21.7–21.7"
2007,"15.2","15.2–15.2","22.8","22.8–22.8"
2008,"15.8","15.8–15.8","23.8","23.8–23.8"
2009,"16.3","16.3–16.3","24.5","24.5–24.5"
2010,"16.4","16.4–16.4","24.6","24.6–24.6"
2011,"16.4","16.4–16.4","24.7","24.7–24.7"
2012,"16.8","16.8–16.8","25.2","25.2–25.2"
2013,"17.2","17.2–17.2","25.8","25.8–25.8"
2014,"17.9","17.9–17.9","26.9","26.9–26.9"
2015,"18.6","18.6–18.6","27.9","27.9–27.9"
