"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,62.17,"73.2%","Central","high","ABC"
2016,NA,NA,62.97,"74.1%","Central","high","ABC"
2017,NA,NA,63.71,"75%","Central","high","ABC"
2018,NA,NA,64.1,"75.4%","Central","high","ABC"
2019,NA,NA,64.28,"75.6%","Central","high","ABC"
2020,NA,NA,64.63,"76%","Central","high","ABC"
2021,37.45,15.75,64.97,"76.4%","Central","high","ABC"
2022,37.08,15.75,64.35,"75.7%","Central","high","ABC"
2023,36.72,15.75,63.74,"75%","Central","high","ABC"
2024,36.37,15.74,63.15,"74.3%","Central","high","ABC"
2025,36.03,15.74,62.6,"73.7%","Central","high","ABC"
2026,35.71,15.74,62.07,"73%","Central","high","ABC"
2027,35.41,15.73,61.57,"72.4%","Central","high","ABC"
2028,35.13,15.74,61.1,"71.9%","Central","high","ABC"
2029,34.86,15.73,60.66,"71.4%","Central","high","ABC"
2030,34.62,15.73,60.25,"70.9%","Central","high","ABC"
