"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,40.03,"61.5%","Central","base","upper"
2016,NA,NA,40.75,"62.6%","Central","base","upper"
2017,NA,NA,41.44,"63.7%","Central","base","upper"
2018,NA,NA,41.78,"64.2%","Central","base","upper"
2019,NA,NA,41.91,"64.4%","Central","base","upper"
2020,NA,NA,42.22,"64.9%","Central","base","upper"
2021,21.56,27.83,42.52,"65.3%","Central","base","upper"
2022,20.51,27.83,40.49,"62.2%","Central","base","upper"
2023,19.48,27.84,38.53,"59.2%","Central","base","upper"
2024,18.47,27.84,36.62,"56.3%","Central","base","upper"
2025,17.51,27.83,34.8,"53.4%","Central","base","upper"
2026,16.59,27.84,33.06,"50.8%","Central","base","upper"
2027,15.71,27.86,31.4,"48.2%","Central","base","upper"
2028,14.87,27.85,29.83,"45.8%","Central","base","upper"
2029,14.08,27.83,28.34,"43.5%","Central","base","upper"
2030,13.34,27.83,26.93,"41.4%","Central","base","upper"
