"Years","Spawning Output","95% Asymptotic Interval","Estimated Depletion (%)","95% Asymptotic Interval"
2003,"17.7","8.6–26.8","72.4","62.5–82.3"
2004,"17.8","8.7–26.9","72.8","62.9–82.6"
2005,"17.9","8.8–27.0","73.2","63.5–82.9"
2006,"17.9","8.9–27.0","73.4","63.8–83.0"
2007,"18.0","8.9–27.1","73.8","64.2–83.3"
2008,"18.0","8.9–27.1","73.8","64.3–83.3"
2009,"18.0","8.9–27.1","73.8","64.2–83.3"
2010,"18.1","9.0–27.2","73.9","64.4–83.4"
2011,"18.0","8.9–27.1","73.6","64.0–83.3"
2012,"18.0","8.9–27.1","73.5","63.8–83.2"
2013,"18.0","8.9–27.1","73.6","63.9–83.3"
2014,"17.9","8.8–27.1","73.4","63.7–83.2"
2015,"17.9","8.8–27.1","73.4","63.7–83.2"
2016,"18.1","8.9–27.2","73.9","64.3–83.5"
2017,"18.2","9.0–27.3","74.4","64.9–83.8"
2018,"18.2","9.1–27.3","74.5","65.1–83.9"
2019,"18.2","9.1–27.4","74.6","65.2–84.0"
