"Years","Recruitment","95% Asymptotic Interval"
2003,"33.2","23.3–47.5"
2004,"33.3","23.3–47.5"
2005,"33.3","23.3–47.5"
2006,"33.3","23.3–47.5"
2007,"33.3","23.3–47.5"
2008,"33.3","23.3–47.5"
2009,"33.3","23.3–47.5"
2010,"33.3","23.3–47.5"
2011,"33.3","23.3–47.5"
2012,"33.3","23.3–47.5"
2013,"33.3","23.3–47.5"
2014,"33.3","23.3–47.5"
2015,"33.3","23.3–47.5"
2016,"33.3","23.3–47.6"
2017,"33.3","23.4–47.6"
2018,"33.3","23.4–47.6"
2019,"33.3","23.4–47.6"
