"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
" Years","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1-SPR","0.41","0.39","0.44","0.39","0.47","0.50","0.45","0.56","0.51","0.48","0.53","0.48","NA"
"Exploitation_Rate","0.29","0.27","0.32","0.28","0.35","0.38","0.33","0.44","0.39","0.35","0.41","0.36","NA"
"Age 5+ Biomass (mt)","180.6","181.3","182.1","182.6","183.3","183.4","183.3","183.5","182.9","182.7","182.8","182.5","182.6"
"Spawning Biomass (mt)","17.7","17.8","17.9","17.9","18.0","18.0","18.0","18.1","18.0","18.0","18.0","17.9","17.9"
"95% Confidence Interval","8.6–26.8","8.7–26.9","8.8–27.0","8.9–27.0","8.9–27.1","8.9–27.1","8.9–27.1","9.0–27.2","8.9–27.1","8.9–27.1","8.9–27.1","8.8–27.1","8.8–27.1"
"Recruitment","33.2","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3"
"95% Confidence Interval","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5","23.3–47.5"
"Depletion (%)","72.4","72.8","73.2","73.4","73.8","73.8","73.8","73.9","73.6","73.5","73.6","73.4","73.4"
"95% Confidence Interval","62.5–82.3","62.9–82.6","63.5–82.9","63.8–83.0","64.2–83.3","64.3–83.3","64.2–83.3","64.4–83.4","64.0–83.3","63.8–83.2","63.9–83.3","63.7–83.2","63.7–83.2"
