"Years","OFL","ABC","ACL","Landings","Total Dead"
2003,"fill_in","fill_in","fill_in","2.39","2.39"
2004,"fill_in","fill_in","fill_in","2.23","2.23"
2005,"fill_in","fill_in","fill_in","2.68","2.68"
2006,"fill_in","fill_in","fill_in","2.31","2.31"
2007,"fill_in","fill_in","fill_in","2.95","2.95"
2008,"fill_in","fill_in","fill_in","3.16","3.16"
2009,"fill_in","fill_in","fill_in","2.79","2.79"
2010,"fill_in","fill_in","fill_in","3.68","3.68"
2011,"fill_in","fill_in","fill_in","3.26","3.26"
2012,"fill_in","fill_in","fill_in","2.96","2.96"
2013,"fill_in","fill_in","fill_in","3.40","3.40"
2014,"fill_in","fill_in","fill_in","3.02","3.02"
2015,"fill_in","fill_in","fill_in","NA","NA"
