"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.71,"#sum_for_2021: 15.83"
2021,1,2,0.49,""
2021,1,3,8.23,""
2021,1,4,6.22,""
2021,1,5,0.18,""
2022,1,1,0.71,"#sum_for_2022: 15.82"
2022,1,2,0.49,""
2022,1,3,8.22,""
2022,1,4,6.22,""
2022,1,5,0.18,""
2023,1,1,0.71,"#sum_for_2023: 15.84"
2023,1,2,0.5,""
2023,1,3,8.22,""
2023,1,4,6.23,""
2023,1,5,0.18,""
2024,1,1,0.71,"#sum_for_2024: 15.83"
2024,1,2,0.5,""
2024,1,3,8.21,""
2024,1,4,6.23,""
2024,1,5,0.18,""
2025,1,1,0.71,"#sum_for_2025: 15.83"
2025,1,2,0.5,""
2025,1,3,8.21,""
2025,1,4,6.23,""
2025,1,5,0.18,""
2026,1,1,0.71,"#sum_for_2026: 15.83"
2026,1,2,0.5,""
2026,1,3,8.2,""
2026,1,4,6.24,""
2026,1,5,0.18,""
2027,1,1,0.71,"#sum_for_2027: 15.84"
2027,1,2,0.51,""
2027,1,3,8.2,""
2027,1,4,6.24,""
2027,1,5,0.18,""
2028,1,1,0.71,"#sum_for_2028: 15.84"
2028,1,2,0.51,""
2028,1,3,8.2,""
2028,1,4,6.24,""
2028,1,5,0.18,""
2029,1,1,0.71,"#sum_for_2029: 15.83"
2029,1,2,0.51,""
2029,1,3,8.19,""
2029,1,4,6.25,""
2029,1,5,0.17,""
