"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.6,"#sum_for_2021: 13.33"
2021,1,2,0.41,""
2021,1,3,6.92,""
2021,1,4,5.24,""
2021,1,5,0.16,""
2022,1,1,0.6,"#sum_for_2022: 13.32"
2022,1,2,0.41,""
2022,1,3,6.92,""
2022,1,4,5.24,""
2022,1,5,0.15,""
2023,1,1,0.6,"#sum_for_2023: 13.33"
2023,1,2,0.41,""
2023,1,3,6.93,""
2023,1,4,5.24,""
2023,1,5,0.15,""
2024,1,1,0.6,"#sum_for_2024: 13.33"
2024,1,2,0.42,""
2024,1,3,6.92,""
2024,1,4,5.24,""
2024,1,5,0.15,""
2025,1,1,0.6,"#sum_for_2025: 13.33"
2025,1,2,0.42,""
2025,1,3,6.91,""
2025,1,4,5.25,""
2025,1,5,0.15,""
2026,1,1,0.6,"#sum_for_2026: 13.33"
2026,1,2,0.43,""
2026,1,3,6.9,""
2026,1,4,5.25,""
2026,1,5,0.15,""
2027,1,1,0.59,"#sum_for_2027: 13.32"
2027,1,2,0.43,""
2027,1,3,6.9,""
2027,1,4,5.25,""
2027,1,5,0.15,""
2028,1,1,0.6,"#sum_for_2028: 13.33"
2028,1,2,0.43,""
2028,1,3,6.9,""
2028,1,4,5.25,""
2028,1,5,0.15,""
2029,1,1,0.59,"#sum_for_2029: 13.32"
2029,1,2,0.43,""
2029,1,3,6.9,""
2029,1,4,5.25,""
2029,1,5,0.15,""
