"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,18.57,"27.9%","South","base","constant"
2016,NA,NA,19.19,"28.9%","South","base","constant"
2017,NA,NA,19.82,"29.8%","South","base","constant"
2018,NA,NA,20.47,"30.8%","South","base","constant"
2019,NA,NA,21.07,"31.7%","South","base","constant"
2020,NA,NA,21.7,"32.6%","South","base","constant"
2021,15.54,13.33,22.32,"33.6%","South","base","constant"
2022,15.96,13.33,22.93,"34.5%","South","base","constant"
2023,16.38,13.33,23.53,"35.4%","South","base","constant"
2024,16.8,13.32,24.13,"36.3%","South","base","constant"
2025,17.21,13.33,24.71,"37.2%","South","base","constant"
2026,17.61,13.32,25.29,"38%","South","base","constant"
2027,18,13.32,25.85,"38.9%","South","base","constant"
2028,18.39,13.33,26.41,"39.7%","South","base","constant"
2029,18.77,13.33,26.96,"40.5%","South","base","constant"
2030,19.15,13.32,27.5,"41.3%","South","base","constant"
