"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.06,"#sum_for_2021: 15.94"
2021,1,2,0.35,""
2021,1,3,0.19,""
2021,1,4,1.44,""
2021,1,5,1.52,""
2021,1,6,9.59,""
2021,1,7,0.37,""
2021,1,8,0.73,""
2021,1,9,0.32,""
2021,1,10,0.91,""
2021,1,11,0.46,""
2022,1,1,0.06,"#sum_for_2022: 15.94"
2022,1,2,0.35,""
2022,1,3,0.19,""
2022,1,4,1.44,""
2022,1,5,1.52,""
2022,1,6,9.59,""
2022,1,7,0.37,""
2022,1,8,0.73,""
2022,1,9,0.32,""
2022,1,10,0.91,""
2022,1,11,0.46,""
2023,1,1,0.06,"#sum_for_2023: 15.93"
2023,1,2,0.35,""
2023,1,3,0.19,""
2023,1,4,1.44,""
2023,1,5,1.52,""
2023,1,6,9.59,""
2023,1,7,0.37,""
2023,1,8,0.72,""
2023,1,9,0.32,""
2023,1,10,0.91,""
2023,1,11,0.46,""
2024,1,1,0.06,"#sum_for_2024: 15.92"
2024,1,2,0.35,""
2024,1,3,0.19,""
2024,1,4,1.43,""
2024,1,5,1.52,""
2024,1,6,9.59,""
2024,1,7,0.37,""
2024,1,8,0.72,""
2024,1,9,0.32,""
2024,1,10,0.91,""
2024,1,11,0.46,""
2025,1,1,0.06,"#sum_for_2025: 15.92"
2025,1,2,0.35,""
2025,1,3,0.19,""
2025,1,4,1.43,""
2025,1,5,1.52,""
2025,1,6,9.59,""
2025,1,7,0.37,""
2025,1,8,0.72,""
2025,1,9,0.32,""
2025,1,10,0.91,""
2025,1,11,0.46,""
2026,1,1,0.06,"#sum_for_2026: 15.93"
2026,1,2,0.35,""
2026,1,3,0.19,""
2026,1,4,1.43,""
2026,1,5,1.52,""
2026,1,6,9.6,""
2026,1,7,0.37,""
2026,1,8,0.72,""
2026,1,9,0.32,""
2026,1,10,0.91,""
2026,1,11,0.46,""
2027,1,1,0.06,"#sum_for_2027: 15.93"
2027,1,2,0.35,""
2027,1,3,0.19,""
2027,1,4,1.43,""
2027,1,5,1.52,""
2027,1,6,9.6,""
2027,1,7,0.37,""
2027,1,8,0.72,""
2027,1,9,0.32,""
2027,1,10,0.91,""
2027,1,11,0.46,""
2028,1,1,0.06,"#sum_for_2028: 15.95"
2028,1,2,0.36,""
2028,1,3,0.19,""
2028,1,4,1.43,""
2028,1,5,1.52,""
2028,1,6,9.61,""
2028,1,7,0.37,""
2028,1,8,0.72,""
2028,1,9,0.32,""
2028,1,10,0.91,""
2028,1,11,0.46,""
2029,1,1,0.06,"#sum_for_2029: 15.93"
2029,1,2,0.36,""
2029,1,3,0.19,""
2029,1,4,1.42,""
2029,1,5,1.52,""
2029,1,6,9.61,""
2029,1,7,0.37,""
2029,1,8,0.72,""
2029,1,9,0.32,""
2029,1,10,0.9,""
2029,1,11,0.46,""
