"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","24.4","24.4–24.4"
"Unfished Age 5+ Biomass (mt)","235.3","235.3–235.3"
"Spawning Biomass (2015)","17.9","17.9–17.9"
"Unfished Recruitment (R0)","34.2","34.2–34.2"
"Depletion (2015)","73.44","73.44–73.44"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (SB40%)","9.8","9.8–9.8"
"SPR resulting in SB40%","0.444","0.444–0.444"
"Exploitation Rate Resulting in SB40%","0.055","0.055–0.055"
"Yield with SPR Based On SB40% (mt)","6.3","6.3–6.3"
"Reference Points based on SPR proxy for MSY","",""
"Proxy spawning biomass (SPR50)","11.3","11.3–11.3"
"SPR50","0.500"," NA "
"Exploitation rate corresponding to SPR50","0.046","0.046–0.046"
"Yield with SPR50 at SBSPR (mt)","5.8","5.8–5.8"
"Reference points based on estimated MSY values","",""
"Spawning biomass at MSY (SBMSY)","5.6","5.6–5.6"
"SPRMSY","0.288","0.288–0.288"
"Exploitation rate corresponding to SPRMSY","0.092","0.092–0.092"
"MSY (mt)","7.0","7.0–7.0"
