"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.1,"#sum_for_2021: 27.34"
2021,1,2,0.6,""
2021,1,3,0.33,""
2021,1,4,2.48,""
2021,1,5,2.61,""
2021,1,6,16.44,""
2021,1,7,0.64,""
2021,1,8,1.24,""
2021,1,9,0.55,""
2021,1,10,1.56,""
2021,1,11,0.79,""
2022,1,1,0.11,"#sum_for_2022: 27.36"
2022,1,2,0.6,""
2022,1,3,0.33,""
2022,1,4,2.46,""
2022,1,5,2.62,""
2022,1,6,16.45,""
2022,1,7,0.64,""
2022,1,8,1.25,""
2022,1,9,0.56,""
2022,1,10,1.55,""
2022,1,11,0.79,""
2023,1,1,0.1,"#sum_for_2023: 27.36"
2023,1,2,0.61,""
2023,1,3,0.32,""
2023,1,4,2.46,""
2023,1,5,2.61,""
2023,1,6,16.46,""
2023,1,7,0.64,""
2023,1,8,1.25,""
2023,1,9,0.56,""
2023,1,10,1.55,""
2023,1,11,0.8,""
2024,1,1,0.1,"#sum_for_2024: 27.37"
2024,1,2,0.61,""
2024,1,3,0.33,""
2024,1,4,2.47,""
2024,1,5,2.62,""
2024,1,6,16.45,""
2024,1,7,0.64,""
2024,1,8,1.25,""
2024,1,9,0.56,""
2024,1,10,1.55,""
2024,1,11,0.79,""
2025,1,1,0.1,"#sum_for_2025: 27.37"
2025,1,2,0.61,""
2025,1,3,0.32,""
2025,1,4,2.47,""
2025,1,5,2.61,""
2025,1,6,16.46,""
2025,1,7,0.64,""
2025,1,8,1.24,""
2025,1,9,0.56,""
2025,1,10,1.56,""
2025,1,11,0.8,""
2026,1,1,0.1,"#sum_for_2026: 27.37"
2026,1,2,0.61,""
2026,1,3,0.33,""
2026,1,4,2.47,""
2026,1,5,2.61,""
2026,1,6,16.47,""
2026,1,7,0.64,""
2026,1,8,1.23,""
2026,1,9,0.56,""
2026,1,10,1.55,""
2026,1,11,0.8,""
2027,1,1,0.11,"#sum_for_2027: 27.36"
2027,1,2,0.6,""
2027,1,3,0.32,""
2027,1,4,2.45,""
2027,1,5,2.62,""
2027,1,6,16.47,""
2027,1,7,0.64,""
2027,1,8,1.25,""
2027,1,9,0.55,""
2027,1,10,1.55,""
2027,1,11,0.8,""
2028,1,1,0.11,"#sum_for_2028: 27.37"
2028,1,2,0.6,""
2028,1,3,0.33,""
2028,1,4,2.46,""
2028,1,5,2.62,""
2028,1,6,16.47,""
2028,1,7,0.64,""
2028,1,8,1.24,""
2028,1,9,0.55,""
2028,1,10,1.55,""
2028,1,11,0.8,""
2029,1,1,0.11,"#sum_for_2029: 27.37"
2029,1,2,0.61,""
2029,1,3,0.32,""
2029,1,4,2.45,""
2029,1,5,2.62,""
2029,1,6,16.48,""
2029,1,7,0.63,""
2029,1,8,1.23,""
2029,1,9,0.56,""
2029,1,10,1.56,""
2029,1,11,0.8,""
