"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","65.1","65.1–65.1"
"Unfished Age 5+ Biomass (mt)","577.0","577.0–577.0"
"Spawning Biomass (2015)","40.0","40.0–40.0"
"Unfished Recruitment (R0)","71.3","71.3–71.3"
"Depletion (2015)","61.49","61.49–61.49"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (SB40%)","26.0","26.0–26.0"
"SPR resulting in SB40%","0.444","0.444–0.444"
"Exploitation Rate Resulting in SB40%","0.058","0.058–0.058"
"Yield with SPR Based On SB40% (mt)","15.7","15.7–15.7"
"Reference Points based on SPR proxy for MSY","",""
"Proxy spawning biomass (SPR50)","30.0","30.0–30.0"
"SPR50","0.500"," NA "
"Exploitation rate corresponding to SPR50","0.048","0.048–0.048"
"Yield with SPR50 at SBSPR (mt)","14.5","14.5–14.5"
"Reference points based on estimated MSY values","",""
"Spawning biomass at MSY (SBMSY)","15.4","15.4–15.4"
"SPRMSY","0.293","0.293–0.293"
"Exploitation rate corresponding to SPRMSY","0.098","0.098–0.098"
"MSY (mt)","17.3","17.3–17.3"
