"Years","Spawning Output","95% Asymptotic Interval","Estimated Depletion (%)","95% Asymptotic Interval"
2003,"40.7","40.7–40.7","62.5","62.5–62.5"
2004,"40.2","40.2–40.2","61.8","61.8–61.8"
2005,"40.3","40.3–40.3","61.8","61.8–61.8"
2006,"40.6","40.6–40.6","62.4","62.4–62.4"
2007,"40.9","40.9–40.9","62.7","62.7–62.7"
2008,"40.6","40.6–40.6","62.4","62.4–62.4"
2009,"40.3","40.3–40.3","61.9","61.9–61.9"
2010,"40.1","40.1–40.1","61.6","61.6–61.6"
2011,"40.4","40.4–40.4","62.0","62.0–62.0"
2012,"40.1","40.1–40.1","61.6","61.6–61.6"
2013,"39.7","39.7–39.7","61.0","61.0–61.0"
2014,"39.6","39.6–39.6","60.8","60.8–60.8"
2015,"40.0","40.0–40.0","61.5","61.5–61.5"
