"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","65.1","51.8–78.4"
"Unfished Age 5+ Biomass (mt)","577.0","462.4–691.6"
"Spawning Biomass (2015)","39.7","27.7–51.6"
"Unfished Recruitment (R0)","71.3","57.9–84.6"
"Depletion (2015)","60.92","54.99–66.85"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (SB40%)","26.0","20.7–31.4"
"SPR resulting in SB40%","0.444","0.444–0.444"
"Exploitation Rate Resulting in SB40%","0.058","0.057–0.060"
"Yield with SPR Based On SB40% (mt)","15.7","12.6–18.7"
"Reference Points based on SPR proxy for MSY","",""
"Proxy spawning biomass (SPR50)","30.0","23.8–36.1"
"SPR50","0.500"," NA "
"Exploitation rate corresponding to SPR50","0.048","0.047–0.050"
"Yield with SPR50 at SBSPR (mt)","14.5","11.7–17.3"
"Reference points based on estimated MSY values","",""
"Spawning biomass at MSY (SBMSY)","15.4","12.2–18.6"
"SPRMSY","0.293","0.290–0.295"
"Exploitation rate corresponding to SPRMSY","0.098","0.094–0.102"
"MSY (mt)","17.3","14.0–20.7"
