"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"CommLandings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TotCatch","20.444979","17.00598","15.599977","11.285998","12.44499","13.110316","13.110316","12.943827","13.705617","13.32472","13.324721"
"OFL",NA,NA,NA,NA,NA,"12.9341","13.3678","13.8053","14.2579","14.6727","15.1073"
"ACL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-SPR","-0.33755","-0.24629","-0.19955","-0.01854","-0.04419","-0.0560400000000001","-0.0393399999999999","-0.00517999999999996","-0.01976","0.010211","0.025118"
"ExploitationRate","1.69697","1.40529","1.26902","0.900269","0.960927","0.984071","0.959813","0.925142","0.955938","0.909575","0.88986"
"A10+Biomass","253.371","254.495","258.523","263.641","272.363","280.176","287.258","294.238","301.518","308.081","314.906"
"SpawnBiomass","16.361","16.4435","16.7575","17.1675","17.8995","18.5653","19.1898","19.8207","20.4741","21.0727","21.6993"
"Spawnbio95CI","11--22","11--22","11--23","11--23","12--24","12--25","13--26","13--26","14--27","14--28","15--29"
"Rec","126.27","126.42","126.99","127.71","128.94","129.99","130.92","131.82","132.7","133.47","134.24"
"Rec95CI","109.96--142.58","109.97--142.87","110.52--143.46","111.29--144.13","112.72--145.16","113.95--146.03","115.04--146.8","116.11--147.53","117.15--148.25","118.06--148.88","118.98--149.5"
"Depletion","24.6%","24.7%","25.2%","25.8%","26.9%","27.9%","28.9%","29.8%","30.8%","31.7%","32.6%"
"Depl95CI","126.21--126.33","126.36--126.48","126.93--127.05","127.64--127.78","128.87--129.01","129.92--130.06","130.85--130.99","131.75--131.89","132.63--132.77","133.4--133.54","134.17--134.31"
