YEAR_INDEX,PSTAR_0.45,TYPE,YEAR,DEAD FG CATCH,LIVE FG LANDINGS,CHARTER LANDINGS,PRIVATE LANDINGS,DISCARD LIVE FISH FISHERY
0,NA,ACTUAL,2017,0.597970822,0.943971082,5.286096768,5.995905528,0.119884327
1,NA,ACTUAL,2018,0.452982742,0.835471787,7.015561214,5.29550231,0.106104917
2,NA,PROJECTION,2019,0.525476782,0.889721435,6.150828991,5.645703919,0.112994622
3,NA,PROJECTION,2020,0.525476782,0.889721435,6.150828991,5.645703919,0.112994622
4,0.857,FULL ACL,2021,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
5,0.849,FULL ACL,2022,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
6,0.841,FULL ACL,2023,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
7,0.833,FULL ACL,2024,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
8,0.826,FULL ACL,2025,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
9,0.818,FULL ACL,2026,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
10,0.81,FULL ACL,2027,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
11,0.803,FULL ACL,2028,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
12,0.795,FULL ACL,2029,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
13,0.788,FULL ACL,2030,0.039436217,0.066772214,0.461610176,0.423701322,0.008480071
