"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,62.17,"73.2%","Central","high","constant"
2016,NA,NA,62.97,"74.1%","Central","high","constant"
2017,NA,NA,63.71,"75%","Central","high","constant"
2018,NA,NA,64.1,"75.4%","Central","high","constant"
2019,NA,NA,64.28,"75.6%","Central","high","constant"
2020,NA,NA,64.63,"76%","Central","high","constant"
2021,37.45,7.59,64.97,"76.4%","Central","high","constant"
2022,37.63,7.59,65.28,"76.8%","Central","high","constant"
2023,37.81,7.6,65.57,"77.1%","Central","high","constant"
2024,37.97,7.59,65.84,"77.5%","Central","high","constant"
2025,38.12,7.59,66.09,"77.8%","Central","high","constant"
2026,38.27,7.59,66.33,"78%","Central","high","constant"
2027,38.4,7.6,66.56,"78.3%","Central","high","constant"
2028,38.53,7.6,66.77,"78.6%","Central","high","constant"
2029,38.65,7.6,66.97,"78.8%","Central","high","constant"
2030,38.76,7.6,67.16,"79%","Central","high","constant"
