"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","24.4","15.2–33.7"
"Unfished Age 5+ Biomass (mt)","235.3","149.5–321.1"
"Spawning Biomass (2015)","18.2","9.1–27.4"
"Unfished Recruitment (R0)","34.2","22.3–46.0"
"Depletion (2015)","74.56","65.16–83.97"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (SB40%)","9.8","6.1–13.5"
"SPR resulting in SB40%","0.444","0.444–0.444"
"Exploitation Rate Resulting in SB40%","0.055","0.052–0.058"
"Yield with SPR Based On SB40% (mt)","6.3","4.0–8.5"
"Reference Points based on SPR proxy for MSY","",""
"Proxy spawning biomass (SPR50)","11.3","7.0–15.5"
"SPR50","0.500"," NA "
"Exploitation rate corresponding to SPR50","0.046","0.043–0.048"
"Yield with SPR50 at SBSPR (mt)","5.8","3.7–7.9"
"Reference points based on estimated MSY values","",""
"Spawning biomass at MSY (SBMSY)","5.6","3.5–7.8"
"SPRMSY","0.288","0.282–0.293"
"Exploitation rate corresponding to SPRMSY","0.092","0.086–0.099"
"MSY (mt)","7.0","4.5–9.4"
