"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,1.55,"#sum_for_2021: 2.87"
2021,1,2,0.22,""
2021,1,3,1.1,""
2022,1,1,1.56,"#sum_for_2022: 2.87"
2022,1,2,0.22,""
2022,1,3,1.09,""
2023,1,1,1.56,"#sum_for_2023: 2.87"
2023,1,2,0.22,""
2023,1,3,1.09,""
2024,1,1,1.56,"#sum_for_2024: 2.87"
2024,1,2,0.22,""
2024,1,3,1.09,""
2025,1,1,1.56,"#sum_for_2025: 2.87"
2025,1,2,0.22,""
2025,1,3,1.09,""
2026,1,1,1.56,"#sum_for_2026: 2.87"
2026,1,2,0.22,""
2026,1,3,1.09,""
2027,1,1,1.57,"#sum_for_2027: 2.88"
2027,1,2,0.22,""
2027,1,3,1.09,""
2028,1,1,1.57,"#sum_for_2028: 2.87"
2028,1,2,0.22,""
2028,1,3,1.08,""
2029,1,1,1.57,"#sum_for_2029: 2.87"
2029,1,2,0.22,""
2029,1,3,1.08,""
2030,1,1,1.57,"#sum_for_2030: 2.87"
2030,1,2,0.22,""
2030,1,3,1.08,""
