"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,19.27,"39%","Central","low","ABC"
2016,NA,NA,19.76,"40%","Central","low","ABC"
2017,NA,NA,20.25,"41%","Central","low","ABC"
2018,NA,NA,20.4,"41.3%","Central","low","ABC"
2019,NA,NA,20.37,"41.2%","Central","low","ABC"
2020,NA,NA,20.52,"41.5%","Central","low","ABC"
2021,7.69,15.75,20.66,"41.8%","Central","low","ABC"
2022,7.39,15.75,19.89,"40.2%","Central","low","ABC"
2023,7.1,15.75,19.12,"38.7%","Central","low","ABC"
2024,6.8,15.74,18.35,"37.1%","Central","low","ABC"
2025,6.51,15.74,17.61,"35.6%","Central","low","ABC"
2026,6.23,15.74,16.88,"34.1%","Central","low","ABC"
2027,5.95,15.73,16.18,"32.7%","Central","low","ABC"
2028,5.68,15.74,15.5,"31.3%","Central","low","ABC"
2029,5.43,15.73,14.84,"30%","Central","low","ABC"
2030,5.18,15.73,14.21,"28.7%","Central","low","ABC"
